"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"64","gorails-screencasts/gorails-97-braintree-paypal",1,1,3,3,1,"MemberEvent",3,3,1,0.3
"65","coltekin/dsl2016-source",1,1,19,3,6.33333,"ForkEvent",19,3,6.33333,0.3
"66","ericclemmons/reload-server-webpack-plugin",1,1,10,7,1.42857,"ForkEvent",10,7,1.42857,0.1
"67","jeokrohn/cisco_spark",1,1,10,3,3.33333,"ForkEvent",10,3,3.33333,0.3
"68","jamesmacaulay/zelkova",2,2,21,20,1.05,"ForkEvent",21,20,1.05,0.1
"69","nuncostans/sexy-monochrome-theme",17,1,30,6,5,"PushEvent",30,6,5,0.2
"70","yous/tweetdeck_image_extension",12,1,43,4,10.75,"PushEvent",43,4,10.75,0.3
"71","NemoTravel/nemo.travel.fares",13,1,17,3,5.66667,"PushEvent",17,3,5.66667,0.3
"72","CandyRoms/vendor_candy",2,1,85,9,9.44444,"IssuesEvent",85,9,9.44444,0.1
"73","stefdeheus/Project4",5,1,70,5,14,"MemberEvent",70,5,14,0.2
"74","vollero/openCAPWAP",2,2,15,9,1.66667,"WatchEvent",15,9,1.66667,0.1
"75","kbase/data_api",8,2,170,7,24.28571,"CreateEvent",170,7,24.28571,0.1
"76","jordanterry/ValidatedInputs",4,1,26,3,8.66667,"IssuesEvent",26,3,8.66667,0.3
"77","deseretdigital-ui/ddm-selecty",2,2,242,6,40.33333,"ReleaseEvent",242,6,40.33333,0.2
"78","nuncostans/sexy-monochrome-theme",2,2,30,6,5,"ForkEvent",30,6,5,0.2
"79","PrestaShop/ps_socialfollow",5,5,46,7,6.57143,"ForkEvent",46,7,6.57143,0.1
"80","joesforn/angularMultipleSelect",1,1,8,3,2.66667,"ForkEvent",8,3,2.66667,0.3
"81","JorritPosthuma/MixCloud-Desktop",2,2,22,15,1.46667,"ForkEvent",22,15,1.46667,0.1
"82","kbase/data_api",34,2,170,7,24.28571,"PushEvent",170,7,24.28571,0.1
"83","ALPHACamp/help-exercise-ac",10,10,20,10,2,"PullRequestEvent",20,10,2,0.1
"84","HalBuilder/halbuilder-api",2,2,3,3,1,"ForkEvent",3,3,1,0.3
"85","vollero/openCAPWAP",3,3,15,9,1.66667,"ForkEvent",15,9,1.66667,0.1
"86","deseretdigital-ui/ddm-selecty",139,4,242,6,40.33333,"PushEvent",242,6,40.33333,0.2
"87","coltekin/dsl2016-source",10,1,19,3,6.33333,"PushEvent",19,3,6.33333,0.3
"88","CandyRoms/vendor_candy",68,1,85,9,9.44444,"PushEvent",85,9,9.44444,0.1
"89","emkay/material-ui-table-list",3,3,3,3,1,"WatchEvent",3,3,1,0.3
"90","Cheeky-Monkey-Media/paragraphs_components",4,2,21,4,5.25,"PullRequestEvent",21,4,5.25,0.3
"91","kbase/data_api",39,3,170,7,24.28571,"IssueCommentEvent",170,7,24.28571,0.1
"92","fumiyasac/WebViewGraphOfSwift",3,1,6,3,2,"PushEvent",6,3,2,0.3
"93","KNRobocik/ROV2.0",6,2,20,3,6.66667,"PushEvent",20,3,6.66667,0.3
"94","openstack/mixmatch",2,2,25,5,5,"CreateEvent",25,5,5,0.2
"95","darragjm/PokemonGo-Map",7,2,31,3,10.33333,"CreateEvent",31,3,10.33333,0.3
"96","reproio/wrapbox",3,1,7,3,2.33333,"CreateEvent",7,3,2.33333,0.3
"97","rizo/elements",5,1,52,3,17.33333,"DeleteEvent",52,3,17.33333,0.3
"98","JorritPosthuma/MixCloud-Desktop",4,4,22,15,1.46667,"IssuesEvent",22,15,1.46667,0.1
"99","Cheeky-Monkey-Media/paragraphs_components",3,2,21,4,5.25,"MemberEvent",21,4,5.25,0.3
